COD_UF;COD_MUN;COD_ESPECIE;LATITUDE;LONGITUDE;NV_GEO_COORD
35;3526902;6;-22.564988;-47.401031;1
35;3526902;6;-22.564938;-47.400978;1
35;3526902;6;-22.564773;-47.401453;1
35;3526902;6;-22.564905;-47.401619;1
35;3526902;6;-22.564714;-47.401508;1
35;3526902;6;-22.564896;-47.402020;1
35;3526902;6;-22.564055;-47.401115;1
35;3526902;6;-22.564131;-47.401318;1
35;3526902;6;-22.564073;-47.401429;1
35;3526902;5;-22.564386;-47.401277;1
35;3526902;6;-22.564047;-47.401387;1
35;3526902;5;-22.564322;-47.401328;1
35;3526902;6;-22.564171;-47.401626;1
35;3526902;6;-22.564238;-47.401581;1
35;3526902;6;-22.564345;-47.401416;1
35;3526902;6;-22.564487;-47.401537;1
35;3526902;5;-22.564532;-47.401632;1
35;3526902;1;-22.565137;-47.401115;2
35;3526902;1;-22.565137;-47.401115;2
35;3526902;1;-22.565137;-47.401115;1
35;3526902;1;-22.565137;-47.401115;1
35;3526902;1;-22.565137;-47.401115;1
35;3526902;1;-22.565137;-47.401115;1
35;3526902;1;-22.565137;-47.401115;1
35;3526902;1;-22.565137;-47.401115;1
35;3526902;1;-22.565137;-47.401115;1
35;3526902;1;-22.565137;-47.401115;1
35;3526902;1;-22.565137;-47.401115;1
35;3526902;1;-22.565137;-47.401115;1
35;3526902;1;-22.565137;-47.401115;1
35;3526902;1;-22.565137;-47.401115;1
35;3526902;1;-22.565137;-47.401115;1
35;3526902;1;-22.565137;-47.401115;1
35;3526902;1;-22.565137;-47.401115;1
35;3526902;1;-22.565137;-47.401115;2
35;3526902;1;-22.565137;-47.401115;1
35;3526902;1;-22.565137;-47.401115;1
35;3526902;1;-22.565137;-47.401115;1
35;3526902;1;-22.565137;-47.401115;1
35;3526902;1;-22.565137;-47.401115;1
35;3526902;1;-22.565137;-47.401115;1
35;3526902;1;-22.565137;-47.401115;1
35;3526902;1;-22.565137;-47.401115;1
35;3526902;6;-22.564935;-47.401293;1
35;3526902;6;-22.564983;-47.401350;1
35;3526902;6;-22.565213;-47.401059;1
35;3526902;6;-22.565264;-47.401223;1
35;3526902;6;-22.565388;-47.401155;1
35;3526902;6;-22.565266;-47.401189;1
35;3526902;6;-22.565519;-47.401355;1
35;3526902;6;-22.565560;-47.401316;1
35;3526902;6;-22.565465;-47.401382;1
35;3526902;1;-22.565494;-47.401333;1
35;3526902;6;-22.565254;-47.402363;1
35;3526902;5;-22.565243;-47.402321;1
35;3526902;6;-22.565311;-47.402326;1
35;3526902;6;-22.565370;-47.402290;1
35;3526902;1;-22.565687;-47.401678;1
35;3526902;6;-22.565687;-47.401678;1
35;3526902;5;-22.565485;-47.401901;1
35;3526902;6;-22.563845;-47.401770;1
35;3526902;6;-22.563845;-47.401770;1
35;3526902;5;-22.565586;-47.401757;1
35;3526902;5;-22.565584;-47.401937;1
35;3526902;6;-22.565654;-47.402023;1
35;3526902;6;-22.565511;-47.402016;1
35;3526902;6;-22.565486;-47.402017;1
35;3526902;5;-22.565481;-47.401900;1
35;3526902;6;-22.565486;-47.402017;1
35;3526902;6;-22.565486;-47.402017;1
35;3526902;5;-22.565572;-47.401896;1
35;3526902;6;-22.565572;-47.401896;1
35;3526902;6;-22.565572;-47.401896;1
35;3526902;6;-22.565449;-47.402068;1
35;3526902;6;-22.565449;-47.402068;1
35;3526902;1;-22.565282;-47.401976;1
35;3526902;6;-22.565282;-47.401976;1
35;3526902;6;-22.564873;-47.401855;1
35;3526902;6;-22.565384;-47.401984;1
35;3526902;6;-22.565384;-47.401984;1
35;3526902;6;-22.565303;-47.402123;1
35;3526902;6;-22.565496;-47.402073;1
35;3526902;6;-22.565379;-47.402142;1
35;3526902;6;-22.565672;-47.401210;1
35;3526902;6;-22.565511;-47.402220;1
35;3526902;6;-22.565524;-47.402125;1
35;3526902;6;-22.565192;-47.402123;1
35;3526902;6;-22.565188;-47.402232;1
35;3526902;1;-22.564739;-47.401875;1
35;3526902;6;-22.564815;-47.401995;1
35;3526902;6;-22.564797;-47.401931;1
35;3526902;6;-22.564932;-47.401913;1
35;3526902;1;-22.564651;-47.402346;1
35;3526902;1;-22.564651;-47.402346;1
35;3526902;1;-22.564651;-47.402346;1
35;3526902;1;-22.564651;-47.402346;1
35;3526902;1;-22.564651;-47.402346;1
35;3526902;1;-22.564651;-47.402346;1
35;3526902;1;-22.564651;-47.402346;1
35;3526902;1;-22.564651;-47.402346;1
